date,time,username,tweet,link,likes,retweets,replies,mentions,hashtags
2018-10-16,22:38:06,GoTracz,"Nie chcę, by Wrocław był europejski z nazwy, tylko z działań. Chcę, żeby działaniami Wrocław zasłużył na tytuł Zielonej Stolicy Europy! 💚🤗W poniedziałek zacznie się nowy rozdział w historii Wrocławia, a ja bym chciała, żeby ten rozdział się zaczął z nowymi ludźmi #debataWrocław pic.twitter.com/imXJzWHyQc",https://twitter.com/GoTracz/status/1052297654867283970,13,4,0,,#debataWrocław
2018-10-16,16:48:37,GoTracz,"Chcemy, aby miasto było w przyszłości Zieloną Stolicą Europy. Aby zasłużyć na ten tytuł, musimy pokonać szereg wyzwań w kwestii komunikacji zbiorowej. Wieloletnie oszczędności dają o sobie znać codziennie, na wielu płaszczyznach – od infrastruktury, po tabor i braki kadrowe 🚌🚊 pic.twitter.com/nVuSZVcxTa",https://twitter.com/GoTracz/status/1052209706301763584,11,4,0,,
2018-10-16,07:41:56,GoTracz,Dzień dobry 🌻Z przyszłym radnym miejskim Markiem Wąsowskim oraz przyszłym radnym sejmikowym Krzysztofem Kubickim rozmawiamy z mieszkańcami i mieszkankami Różanki.Udanego wtorku!#ZielonyWrocław #zielonesejmiki #zielonewojewództwa #odetchnijPolsko #dobryklimat pic.twitter.com/phS2HP2uoS,https://twitter.com/GoTracz/status/1052072127485095936,15,5,3,,"#ZielonyWrocław,#zielonesejmiki,#zielonewojewództwa,#odetchnijPolsko,#dobryklimat"
2018-10-15,16:05:14,GoTracz,"A w niedzielę czas na Polskę! 🍀🌻💚21 października głosujmy w całej Polsce na listę nr 3, na Zielonych. Niech zielona fala nie ominie Polski w wyborach do sejmików wojewódzkich i Wrocławia do Rady Miejskiej. #GreenWave #ZielonaFala #OdetchnijPolsko #ZielonyWrocław #DobryKlimat https://twitter.com/europeangreens/status/1051800984538804224 …",https://twitter.com/GoTracz/status/1051836400126107649,18,6,0,,"#GreenWave,#ZielonaFala,#OdetchnijPolsko,#ZielonyWrocław,#DobryKlimat"
2018-10-14,19:32:56,GoTracz,Dzisiaj zieloną drużyną do Rady Miejskiej Wrocławia i Sejmiku Woj.Dolnośląskiego byliśmy na Gaju i Hubach 💚🌻🍀#zielonyWrocław #dobryKlimat #odetchnijPolsko pic.twitter.com/QIuy9Kspvg,https://twitter.com/GoTracz/status/1051526279231676416,16,6,0,,"#zielonyWrocław,#dobryKlimat,#odetchnijPolsko"
2018-10-13,19:04:06,GoTracz,"Leśnica, Nowy Dwór i mój Ołbin. W tych miejscach Zielona drużyna do Rady Miejskiej Wrocławia i Sejmiku rozmawiała dziś z mieszkańcami i mieszkankami, o tym, co najważniejsze.#zielonyWrocław #odetchnijPolsko #WyborySamorządowe #wybory2018 #dobryklimat #zielonesamorządy pic.twitter.com/MyCsviqRpP",https://twitter.com/GoTracz/status/1051156635631214592,12,5,1,,"#zielonyWrocław,#odetchnijPolsko,#WyborySamorządowe,#wybory2018,#dobryklimat,#zielonesamorządy"
2018-10-13,15:41:52,GoTracz,Wrocław - miasto z dobrym klimatem! #dobryklimat #zielonyWrocław #odetchnijPolsko #odetchnijWrocławiu pic.twitter.com/e8578Lspw9,https://twitter.com/GoTracz/status/1051105741657001984,17,8,2,,"#dobryklimat,#zielonyWrocław,#odetchnijPolsko,#odetchnijWrocławiu"
2018-10-12,15:23:13,GoTracz,"W okręgu byłego woj. jeleniogórskiego mamy mocną drużynę do Sejmiku! Osoby w różnym wieku, z różnych miejsowości: Bolesławca, Jeleniej Góry, Zgorzelaca, Lubania, Lwówka, Osiecznicy, o różnych priorytetach programowych.Dziś rozmawialiśmy w terenie w Bolesławcu.#OdetchnijPolsko💚 pic.twitter.com/24VGp9MKSI",https://twitter.com/GoTracz/status/1050738660931457026,3,1,0,,#OdetchnijPolsko
2018-10-10,21:45:40,GoTracz,"Dziś był intensywny, ale i dodający energii dzień 💚🌱🌻 Najpierw rozmowy z mieszkańcami i mieszkankami okolic Pl. Grunwaldzkiego, potem Psiego Pola oraz spotkanie zorganizowane przez Radę Osiedla Kowale, za zaproszenie na które bardzo dziękuję. Jutro Kozanów i Lipa Piotrowska. pic.twitter.com/ik9XOf3g5P",https://twitter.com/GoTracz/status/1050110132913356800,13,6,0,,
2018-10-08,17:37:03,GoTracz,"Słoneczne popołudnie na targowisku, ulicach, skwerach i parkach Nadodrza. 3 kobiety, w różnym wieku, kandydatka do sejmiku, do Rady Miejskiej i na prezydenta Wrocławia.#kobietydosamorządu #zielonyWrocław #dobryklimat pic.twitter.com/SFvejJS6Qh",https://twitter.com/GoTracz/status/1049322788966858753,12,5,1,,"#kobietydosamorządu,#zielonyWrocław,#dobryklimat"
