date,time,username,tweet,link,likes,retweets,replies,mentions,hashtags
2018-10-18,09:34:09,KatarzynaObara,"@RozeckaPL @MichalakJerzy @WrocPopuli Dodam tylko, że wspomniana droga jest drogą wewnętrzną. Film na zlecenie dewelopera, który jednocześnie jest współwłaścicielem tv i autorem donosów na mnie wszystkich możliwych służb, ostatnio straży pożarnej. Ale nie zastraszycie mnie stekiem bzdur i manipulacji. Nie boje się !",https://twitter.com/KatarzynaObara/status/1052825145960738816,0,0,0,"WrocPopuli,MichalakJerzy,RozeckaPL",
2018-10-18,09:04:07,KatarzynaObara,"Dodam tylko, że wspomniana droga jest drogą wewnętrzną. Film na zlecenie dewelopera, który jednocześnie jest współwłaścicielem tv i autorem donosów na mnie wszystkich możliwych służb, ostatnio straży pożarnej. Ale nie zastraszycie mnie stekiem bzdur i manipulacji. Nie boje się ! https://twitter.com/wrocpopuli/status/1052796605970206720 …",https://twitter.com/KatarzynaObara/status/1052817584901382144,6,2,0,,
2018-10-15,17:08:10,KatarzynaObara,❤️ https://twitter.com/OnetWiadomosci/status/1051851188549824512 …,https://twitter.com/KatarzynaObara/status/1051852238027657216,11,4,0,,
2018-10-13,15:15:56,KatarzynaObara,Niby archiwum a wciąż niestety aktualne ... https://twitter.com/owiijackowi/status/1051003703174541312 …,https://twitter.com/KatarzynaObara/status/1051099218839003136,6,1,0,,
2018-10-12,15:44:40,KatarzynaObara,#NoweProfilowe pic.twitter.com/8R1zD8yTfC,https://twitter.com/KatarzynaObara/status/1050744058874929156,7,1,0,,#NoweProfilowe
2018-10-04,20:23:50,KatarzynaObara,@bezpartyjni_org @BezpartyjnyWroc @GoTracz @MichalakJerzy @martalempart @RozeckaPL @SutrykJacek @JHarlukowicz @MurzynskiMarcin Nie mogę się doczekać :-),https://twitter.com/KatarzynaObara/status/1047915210969952256,2,0,0,"MurzynskiMarcin,JHarlukowicz,SutrykJacek,RozeckaPL,martalempart,MichalakJerzy,GoTracz,BezpartyjnyWroc,bezpartyjni_org",
2018-10-04,19:50:22,KatarzynaObara,"@bezpartyjni_org @GoTracz @MichalakJerzy @martalempart @RozeckaPL @SutrykJacek @JHarlukowicz @MurzynskiMarcin spodziewałabym się jednak profesjonalnej oceny rzeczywistości - wszystko PUDŁO. @BezpartyjnyWroc nie ma związku z tym finansowaniem, ale warto zapytać wicemarszałka może?",https://twitter.com/KatarzynaObara/status/1047906788937539584,1,0,1,"MurzynskiMarcin,JHarlukowicz,SutrykJacek,RozeckaPL,martalempart,MichalakJerzy,GoTracz,BezpartyjnyWroc,bezpartyjni_org",
2018-10-04,19:38:36,KatarzynaObara,@GoTracz @MichalakJerzy @martalempart @RozeckaPL @SutrykJacek @JHarlukowicz @WroclawJaki A z jakiego powodu powinnam się odnieść ? @BezpartyjnyWroc nie ma nic wspólnego z tymi pieniędzmi.,https://twitter.com/KatarzynaObara/status/1047903830413914112,0,0,0,"WroclawJaki,JHarlukowicz,SutrykJacek,RozeckaPL,martalempart,MichalakJerzy,GoTracz,BezpartyjnyWroc",
2018-10-04,17:09:55,KatarzynaObara,😊 https://twitter.com/DariuszMacarz/status/1047844573379223553 …,https://twitter.com/KatarzynaObara/status/1047866411207602176,1,0,0,,
2018-10-03,21:25:07,KatarzynaObara,Ktoś może zgubił ciągnik tira w parku ? pic.twitter.com/bSw2lqOwjt,https://twitter.com/KatarzynaObara/status/1047568248349315073,4,0,2,,
2018-10-03,06:43:01,KatarzynaObara,"@MichalakJerzy @SutrykJacek @RozeckaPL @BartekEspe Szczepionki te już dziś są finansowane z budżetu Wrocławia i nie ma powodu, aby to zmieniać.",https://twitter.com/KatarzynaObara/status/1047346258325725184,0,0,1,"BartekEspe,RozeckaPL,SutrykJacek,MichalakJerzy",
2018-10-02,15:08:48,KatarzynaObara,@RozeckaPL @martalempart @SutrykJacek @GoTracz @MichalakJerzy @Wroclawdlademok Kontakt z @PHalaczkiewicz proponuje w celu koordynacji,https://twitter.com/KatarzynaObara/status/1047111156303843329,0,0,0,"Wroclawdlademok,MichalakJerzy,GoTracz,SutrykJacek,martalempart,RozeckaPL,PHalaczkiewicz",
2018-09-29,14:59:15,KatarzynaObara,"@tumwro Proszę nie kolportować KŁAMSTW.Nigdy i nigdzie nie padły z moich słów takie słowa,które GW próbuje do mnie przykleić. Dziennikarz nie ma prawa kreować rzeczywistości, a ją relacjonować.”Wrażenia” zostawia się w domu. Wiarygodność tego „dziennikarza” pozostawia wiele do życzenia.",https://twitter.com/KatarzynaObara/status/1046021589597335552,6,2,4,tumwro,
2018-09-28,10:46:58,KatarzynaObara,@SlaskWroclawPl @mmormul @_szczygielm Panowie ... jak trzeba to i piwerko na skwerku trzeba będzie zrobić 😂😊,https://twitter.com/KatarzynaObara/status/1045595712564678656,3,0,1,"_szczygielm,mmormul,SlaskWroclawPl",
2018-09-27,15:16:37,KatarzynaObara,"@TomOwczarek71 Dla jasności:absolutorium to głosowanie ważne jedynie dla prezydenta.Pieniądze, o których Pan nie umie zapomnieć,”dostaje się” tylko za obecność,za nieobecność dieta radnego jest obniżana.Proszę sobie darować populizmByłam na 85% wszystkich głosowań ważnych dla Wrocławian.",https://twitter.com/KatarzynaObara/status/1045301181319401472,2,0,1,TomOwczarek71,
2018-09-24,10:19:35,KatarzynaObara,@BezpartyjnyWroc transparentny Wrocław równych szans #wybory2018 #WyborySamorządowe pic.twitter.com/qiWkGBrdUG,https://twitter.com/KatarzynaObara/status/1044139268069896192,6,2,0,BezpartyjnyWroc,"#wybory2018,#WyborySamorządowe"
2018-09-22,14:51:00,KatarzynaObara,👍❤️💪 https://twitter.com/DariuszMacarz/status/1043475625342853122 …,https://twitter.com/KatarzynaObara/status/1043482796801560578,3,0,0,,
2018-09-21,11:49:46,KatarzynaObara,"@tuWroclaw @gazetapl_news @gaz_wroclawska @sldwroclaw @NowoczesnaWro @PO_Dolny_Slask @MarcinTorz @JHarlukowicz @wszystkojuzbylo @tomaszewskitome To jeszcze jedna kropka do połączenia, może będzie łatwiej: od 6 lat prowadzę OKWineBar, a dopiero w ostatnich tygodniach mam kontrole z : PUP, Straży Pożarnej, a od wczoraj z US. Czekam jeszcze na ZUS. Przypadek? Nie sądzę. Tylko tyle i aż tyle.Nie boję się. I nie dam zastraszyć",https://twitter.com/KatarzynaObara/status/1043074802460909568,0,0,1,"tomaszewskitome,wszystkojuzbylo,JHarlukowicz,MarcinTorz,PO_Dolny_Slask,NowoczesnaWro,sldwroclaw,gaz_wroclawska,gazetapl_news,tuWroclaw",
2018-09-21,11:34:46,KatarzynaObara,"@tuWroclaw @gazetapl_news @gaz_wroclawska @sldwroclaw @NowoczesnaWro @PO_Dolny_Slask @MarcinTorz @JHarlukowicz @tomaszewskitome @wszystkojuzbylo Grał Pan kiedyś w filmie? I na jakiej podstawie wnioskuje Pan, że to moi „pracownicy”? Bo pseudodziennikarzowi napisali do przeczytania? Podstawowe braki warsztatowe niestety.",https://twitter.com/KatarzynaObara/status/1043071025691480064,0,0,1,"wszystkojuzbylo,tomaszewskitome,JHarlukowicz,MarcinTorz,PO_Dolny_Slask,NowoczesnaWro,sldwroclaw,gaz_wroclawska,gazetapl_news,tuWroclaw",
2018-09-21,10:52:27,KatarzynaObara,"@tuWroclaw @gazetapl_news @gaz_wroclawska @sldwroclaw @NowoczesnaWro @PO_Dolny_Slask @MarcinTorz @JHarlukowicz @tomaszewskitome Nie dam się zastraszyć manipulacją i stekiem bzdur bez pokrycia. Kontrola ZDiUM na ulicy z wniosku WM, gdzie jestem w zarządzie. Załączam tez pismo w sprawie kradzieży prądu. Umie Pan połączyć kropki ? Polecam. pic.twitter.com/3im9IjrWte",https://twitter.com/KatarzynaObara/status/1043060374503936001,1,0,2,"tomaszewskitome,JHarlukowicz,MarcinTorz,PO_Dolny_Slask,NowoczesnaWro,sldwroclaw,gaz_wroclawska,gazetapl_news,tuWroclaw",
2018-09-19,10:22:32,KatarzynaObara,"Debaty to nie przywilej,to obowiązek kandydatów. A „wzywanie do debat” z jednoczesną odmową udziału w nich to czysta hipokryzja. @TOKFM_NEWS @MikolajLizut @MichalakJerzy @SutrykJacek @rozecka2018 @martalempart @GoTracz @RobertButwicki @MGadawa @JHarlukowicz @PrzemekGalecki https://twitter.com/BezpartyjnyWroc/status/1042326747822391296 …",https://twitter.com/KatarzynaObara/status/1042328073667072001,13,8,5,"TOKFM_NEWS,MikolajLizut,MichalakJerzy,SutrykJacek,rozecka2018,martalempart,GoTracz,RobertButwicki,MGadawa,JHarlukowicz,PrzemekGalecki",
2018-09-18,14:59:27,KatarzynaObara,"Konsekwentnie do przodu 💪 drużyna gotowa do walki o demokratyczny, niezależny, bezpartyjny wrocławski samorząd 👍 co drugi kandydat @BezpartyjnyWroc do RMW to kobieta 😊 a w moim okręgu /4/ zadbaliśmy o parytet dla mężczyzn, bo są 4 kobiety na 7 kandydatów 😂 https://twitter.com/BezpartyjnyWroc/status/1041955681937616896 …",https://twitter.com/KatarzynaObara/status/1042035370890878977,5,1,0,BezpartyjnyWroc,
2018-09-18,14:43:18,KatarzynaObara,"@Bielanski_K @MBurnecka @PHalaczkiewicz @karolprzywara @BezpartyjnyWroc @tuWroclaw @BartekMatura @tfurca Tomasz, dziś liczę na przeprosiny ;-)  i info „dlaczego tak mało kobiet na jedynkach” :-)",https://twitter.com/KatarzynaObara/status/1042031308795506688,2,0,2,"tfurca,BartekMatura,tuWroclaw,BezpartyjnyWroc,karolprzywara,PHalaczkiewicz,MBurnecka,Bielanski_K",
2018-09-18,14:41:25,KatarzynaObara,@GoTracz @martalempart @MichalakJerzy @BartSkrzynia @SutrykJacek @Wroclawdlademok @tfurca Do uzgodnienia szczegółów debat odsyłam do @PHalaczkiewicz,https://twitter.com/KatarzynaObara/status/1042030834243592197,1,0,1,"tfurca,Wroclawdlademok,SutrykJacek,BartSkrzynia,MichalakJerzy,martalempart,GoTracz,PHalaczkiewicz",
2018-09-17,22:51:19,KatarzynaObara,"@Bielanski_K @MBurnecka @PHalaczkiewicz @karolprzywara @BezpartyjnyWroc @tuWroclaw @BartekMatura @tfurca Parytety wyglądają tak, ze w okręgu nr 4 na 7 kandydatów mamy 4 kobiety, podobnie w okręgu 2... z chwile się okaże, ze mężczyzn trzeba będzie bronić ;-)",https://twitter.com/KatarzynaObara/status/1041791732004933633,3,0,1,"tfurca,BartekMatura,tuWroclaw,BezpartyjnyWroc,karolprzywara,PHalaczkiewicz,MBurnecka,Bielanski_K",
2018-09-14,18:48:07,KatarzynaObara,@DawidGoliat2010  http://bezpartyjnywroclaw2018.pl  zapraszam :-),https://twitter.com/KatarzynaObara/status/1040643365686206466,0,0,1,DawidGoliat2010,
