date,time,username,tweet,link,likes,retweets,replies,mentions,hashtags
2018-10-17,10:36:11,RozeckaPL,Zapraszam do mojego pomysłu na wspólne miasto Wrocław!#rozecka2018 #wyborysamorzadowe2018 #DotrzymujemySłowa pic.twitter.com/2pccXtMZL5,https://twitter.com/RozeckaPL/status/1052478367059116033,66,29,5,,"#rozecka2018,#wyborysamorzadowe2018,#DotrzymujemySłowa"
2018-10-16,11:05:26,RozeckaPL,Uczyńmy Wrocław miastem wrażliwym 💗 na problemy mieszkańców! Przedstawiam mój program polityki społecznej. pic.twitter.com/ZyTQHuCGqR,https://twitter.com/RozeckaPL/status/1052123338397630464,59,27,9,,
2018-10-14,11:56:36,RozeckaPL,Bezpieczeństwo wrocławian jest najważniejsze - a to moje propozycje w tym obszarze!#rozecka2018 #wyborysamorzadowe2018 pic.twitter.com/0AACnjMgJZ,https://twitter.com/RozeckaPL/status/1051411440555487233,107,46,10,,"#rozecka2018,#wyborysamorzadowe2018"
2018-10-12,21:49:14,RozeckaPL,"Szermierka uczy wytrwałości i dyscypliny, a także strategicznego myślenia. Bez tego nie da się odnieść sukcesu, a walka już niedługo – pierwsze starcie już 21 października! #Wrocław #Wybory2018 #wyborysamorzadowe2018 #PiS #DotrzymujemySłowa pic.twitter.com/0fH2Z6nd6S",https://twitter.com/RozeckaPL/status/1050835807483940870,44,15,1,,"#Wrocław,#Wybory2018,#wyborysamorzadowe2018,#PiS,#DotrzymujemySłowa"
2018-10-09,13:53:44,RozeckaPL,Zmiany Urzędzie Miejskim Wrocławia? Ależ tak - po prostu rozsądnie i gospodarnie! pic.twitter.com/xObfWu5FuU,https://twitter.com/RozeckaPL/status/1049628980784091136,70,35,6,,
2018-10-08,11:45:44,RozeckaPL,Na #Wrocław.skim rynku odbywa się dzisiaj cykl dyskusji z kandydatami na Prezydenta Wrocławia. Dziękuję za rozmowę 🙂#WyborySamorządowe #Wybory2018 #Rozecka2018 #PiS #DotrzymujemySłowa pic.twitter.com/fWtomAmrJa,https://twitter.com/RozeckaPL/status/1049234379313242112,43,11,3,,"#Wrocław,#WyborySamorządowe,#Wybory2018,#Rozecka2018,#PiS,#DotrzymujemySłowa"
2018-10-06,16:26:47,RozeckaPL,Jutro będę gościem programu #Woronicza17 @tvp_info. Zapraszam do oglądania. #DotrzymujemySłowa #wybory2018 #WyborySamorządowe #Wrocław #Rozecka2018 pic.twitter.com/bVrk8X7t04,https://twitter.com/RozeckaPL/status/1048580331589308418,65,28,5,tvp_info,"#Woronicza17,#DotrzymujemySłowa,#wybory2018,#WyborySamorządowe,#Wrocław,#Rozecka2018"
2018-10-03,07:02:04,RozeckaPL,Pomimo jesiennej pogody od rana #Mirabus w trasie. Dzisiaj testuje nowe połączenie Lipy Piotrowskiej z zachodnią częścią #Wrocław.ia. #WyborySamorządowe #wybory2018 #DotrzymujemySłowa #PiS #Rozecka2018 pic.twitter.com/sjiTN8guqY,https://twitter.com/RozeckaPL/status/1047351054269075457,83,31,9,,"#Mirabus,#Wrocław,#WyborySamorządowe,#wybory2018,#DotrzymujemySłowa,#PiS,#Rozecka2018"
2018-10-02,20:18:12,RozeckaPL,Jutro o godz. 7:20 będę gościem @tvp_info. Zapraszam do oglądana. pic.twitter.com/PubHibhJgL,https://twitter.com/RozeckaPL/status/1047189018004344832,84,32,4,tvp_info,
2018-10-02,19:06:34,RozeckaPL,#Wrocław nie może wycofywać z odpowiedzialności za zdrowie mieszkańców 🏥. Przedstawiam część programu poświęconą zdrowiu wrocławian. #wybory2018 #WyborySamorządowe #Rozecka2018 #PiS #DotrzymujemySłowa #DobryProgram pic.twitter.com/sKLT096RfN,https://twitter.com/RozeckaPL/status/1047170993205268480,42,24,5,,"#Wrocław,#wybory2018,#WyborySamorządowe,#Rozecka2018,#PiS,#DotrzymujemySłowa,#DobryProgram"
