date,time,username,tweet,link,likes,retweets,replies,mentions,hashtags
2018-10-18,17:04:58,SutrykJacek,"Podwórko Nivea przy ul. Muzealnej uroczyście otwarte! 👏🏻To piękne miejsce powstało z inicjatywy niezwykłych mieszkańców i Rady Osiedla #PrzedmieścieŚwidnickie, którzy zrobili to z myślą o najmniejszych.👏🏻 Gratulacje! Tak między innymi będziemy zmieniać wrocławskie podwórka ☺️ pic.twitter.com/9Fb1EFppM7",https://twitter.com/SutrykJacek/status/1052938597328924673,8,3,0,,#PrzedmieścieŚwidnickie
2018-10-18,16:32:46,SutrykJacek,"Na spotkaniu w Centrum Praw Kobiet #Wrocław rozmawialiśmy o najbliższych planach fundacji, a także o ważnych bieżących sprawach i rozwiązaniach ułatwiających organizację codziennej działalności. #sektor3 #wspolnasprawa #Wrocław pic.twitter.com/o9xjRnH7Ev",https://twitter.com/SutrykJacek/status/1052930491899400192,26,13,0,,"#Wrocław,#sektor3,#wspolnasprawa,#Wrocław"
2018-10-18,10:33:51,SutrykJacek,#konferencjaprasowa z @dutkiewiczrafalLive:   https://www.facebook.com/sutrykjacek/videos/719124871791154/ …,https://twitter.com/SutrykJacek/status/1052840166178443265,10,5,0,dutkiewiczrafal,#konferencjaprasowa
2018-10-18,10:10:05,SutrykJacek,"#Rynek serce #Wrocławia -zadbamy o tę wspólną przestrzeń uwzględniając potrzeby mieszkańców, osób niepełnosprawnych, przedsiębiorców, turystów, gości wielu wydarzeń. Będziemy razem odpowiedzialni za jej historyczny, kulturotwórczy charakter ale i za funkcjonalność i estetykę. pic.twitter.com/al8y0GAMbv",https://twitter.com/SutrykJacek/status/1052834187995176960,37,24,2,,"#Rynek,#Wrocławia"
2018-10-18,09:35:36,SutrykJacek,Briefing z #restauratorzy Rynek #Wrocław: https://www.facebook.com/sutrykjacek/videos/479279125892924/ …,https://twitter.com/SutrykJacek/status/1052825510554861568,5,1,0,,"#restauratorzy,#Wrocław"
2018-10-18,08:45:25,SutrykJacek,"#dzieńdobryWrocław ostatnia prosta przed #wybory✌️ dziś również rozmawiamy z wrocławiankami i wrocławianami, cieszę się, że wiele osób deklaruje - #IdeNaWybory:) #wspólnasprawa #Wroclaw pic.twitter.com/BhKoQRKAWY",https://twitter.com/SutrykJacek/status/1052812878192041984,40,17,7,,"#dzieńdobryWrocław,#wybory,#IdeNaWybory,#wspólnasprawa,#Wroclaw"
2018-10-17,22:32:11,SutrykJacek,"Dziś kończymy dzień na Jagodnie 😊 Długie, konkretne spotkanie o największych wyzwaniach, najbliższych planach, a także aktualnych inwestycjach 💪🏻Zawsze wracam tu z wielką przyjemnością. Dziękuję za obecność i owocną rozmowę. Do zobaczenia! #wspólnasprawa #Wroclaw #osiedla pic.twitter.com/NGmB6e22Uc",https://twitter.com/SutrykJacek/status/1052658555902468096,15,5,2,,"#wspólnasprawa,#Wroclaw,#osiedla"
2018-10-17,21:23:27,SutrykJacek,#Wroclaw #bezbarier budują tacy wspaniali aktywiści jak Jacek Wierdak- od lat łączy nas udział w świetnej idei - Międzynarodowym Turnieju ♿️🎾 #WrocławCup. Dziękuję za głos i wsparcie! #wspolnasprawa #Wrocław #glosujwewroclawiu❎ #prezydentwrocławia #Wybory pic.twitter.com/fG6IONfwBw,https://twitter.com/SutrykJacek/status/1052641258743767040,23,8,1,,"#Wroclaw,#bezbarier,#WrocławCup,#wspolnasprawa,#Wrocław,#glosujwewroclawiu,#prezydentwrocławia,#Wybory"
2018-10-17,19:59:31,SutrykJacek,#KierunekPrzygoda dziękuję Wam za dobre słowo! 😊💪🏻 Robicie wspaniale rzeczy i róbcie je jak najdłużej! 😊 Bo wszystko dla naszych kochanych dzieci i wspaniałej młodzieży 😊 Dzięki!#wspólnasprawa #Wroclaw https://www.facebook.com/kierunekprzygoda/videos/255485921834849/ …,https://twitter.com/SutrykJacek/status/1052620136576937986,15,3,0,,"#KierunekPrzygoda,#wspólnasprawa,#Wroclaw"
2018-10-17,19:04:28,SutrykJacek,"#ProgramdlaWrocławia to #współpraca z samorządem województwa i ekspertami. Zrównoważony rozwój 👉❎czystsze powietrze i wymiana pieców ❎więcej zieleni, ❎rewitalizacja, ❎nowoczesny transport, ❎Odra dla rekreacji❎kładki, ścieżki rowerowe, parkingi#WspólnaSprawa pic.twitter.com/ewlN9A7v8o",https://twitter.com/SutrykJacek/status/1052606281637232640,13,3,0,,"#ProgramdlaWrocławia,#współpraca,#WspólnaSprawa"
